,Month,Billed Cost,Occupancy Pct,Energy Demand,Billed Usage,Property Area
12,January,13426,0.57,268,103692,57872
13,February,13571,0.57,248,111254,57872
14,March,12498,0.59,213,101766,57872
15,April,10674,0.59,209,87158,57872
16,May,13439,0.59,172,111071,57872
17,June,10881,0.59,196,89521,57872
18,July,11495,0.59,216,94521,57872
19,August,10455,0.59,185,85943,57872
20,September,9613,0.59,189,78369,57872
21,October,8171,0.6,232,63583,57872
22,November,8866,0.61,365,66283,57872
23,December,12588,0.61,244,97301,57872
24,January,15288,0.61,455,121043,57872
25,February,17377,0.61,412,97263,57872
26,March,15723,0.61,408,79887,57872
27,April,8816,0.61,309,66307,57872
28,May,9063,0.61,214,68415,57872
29,June,9086,0.87,225,72399,57872
30,July,11229,0.87,254,91554,57872
31,August,10329,0.87,231,84546,57872
32,September,9931,0.87,251,79698,57872
33,October,8943,0.87,197,71249,57872
34,November,10742,0.87,344,81367,57872
35,December,12209,0.89,398,93394,57872
48,January,15550,0.7,437,119002,57872
49,February,14015,0.7,410,112274,57872
50,March,11359,0.7,333,89876,57872
51,April,10653,0.7,236,87081,57872
52,May,9766,0.7,185,78577,57872
53,June,13428,0.69,143,110648,57872
54,July,13729,0.69,232,110500,57872
55,August,15135,0.7,222,121672,57872
56,September,15103,0.7,217,124400,57872
57,October,12786,0.7,196,102113,57872
58,November,12957,0.7,265,100825,57872
59,December,11510,0.7,398,82281,57872
60,January,12098,0.75,449,91003,57872
61,February,10830,0.75,386,85338,57872
62,March,10777,0.75,408,81956,57872
63,April,9272,0.75,220,74408,57872
64,May,8674,0.75,218,70055,57872
65,June,10267,0.75,224,87611,57872
66,July,9929,0.75,231,84468,57872
67,August,9133,0.75,226,76691,57872
68,September,9607,0.75,214,82161,57872
69,October,7653,0.75,198,62569,57872
70,November,7768,0.74,266,60851,57872
71,December,10625,0.86,335,86407,57872
72,January,15745,0.86,493,130368,57872
73,February,10590,0.86,394,93706,57872
74,March,10138,0.86,296,95148,57872
75,April,8508,0.86,246,79313,57872
76,May,7951,0.86,227,75930,57872
77,June,9677,0.86,246,91913,57872
78,July,8717,0.86,219,82828,57872
79,August,8326,0.86,211,76503,57872
80,September,8012,0.86,218,74016,57872
81,October,6639,0.86,195,60121,57872
82,November,9054,0.69,321,80224,57872
83,December,9619,0.69,368,83140,57872
84,January,10671,0.95,344,97316,57872
85,February,11003,0.9,403,97773,57872
86,March,8119,0.9,354,70406,57872
87,April,5707,0.9,200,49714,57872
88,May,5333,0.52,164,47166,57872
89,June,6741,0.52,182,63987,57872
6,January,3549,0.24,110,30720,49807
7,February,3231,0.24,110,26160,49807
8,March,3179,0.24,125,24240,49807
9,April,2323,0.24,65,18480,49807
10,May,2657,0.24,62,22080,49807
11,June,1871,0.32,53,13200,49807
12,July,2040,0.32,55,14640,49807
13,August,1860,0.32,43,12720,49807
14,September,1642,0.07,55,10320,49807
15,October,2120,0.07,65,14880,49807
16,November,5803,0.07,134,46800,49807
17,December,3399,1.0,72,27360,49807
18,January,6374,1.0,185,52320,49807
19,February,6649,1.0,182,40800,49807
20,March,5281,1.0,146,32640,49807
21,April,4546,1.0,122,28800,49807
22,May,4104,1.0,84,28080,49807
23,June,4635,1.0,106,32640,49807
24,July,4328,1.0,113,30720,49807
25,August,3860,1.0,110,29760,49807
26,September,2928,1.0,89,21120,49807
27,October,3316,1.0,101,25680,49807
28,November,4311,1.0,144,32880,49807
29,December,5932,1.0,166,49920,49807
42,January,3409,0.07,130,26640,49807
43,February,3869,0.07,102,33200,49807
44,March,2584,0.07,82,19440,49807
45,April,1770,0.07,74,11440,49807
46,May,1658,0.07,76,9280,49807
47,June,1323,0.07,28,6720,49807
48,July,1461,0.07,39,8720,49807
49,August,1699,0.07,77,9760,49807
50,September,1457,0.07,28,8080,49807
51,October,2341,0.07,68,7600,49807
52,November,2312,0.07,54,15920,49807
53,December,4338,0.07,152,31200,49807
54,January,3644,0.07,100,29600,49807
55,February,2796,0.07,98,17040,49807
56,March,2294,0.07,71,15760,49807
57,April,1825,0.07,52,8240,49807
58,May,1822,0.07,45,8160,49807
59,June,2278,0.07,65,12800,49807
60,July,2584,0.07,73,21520,49807
61,August,2114,0.07,59,11200,49807
62,September,1948,0.07,57,10080,49807
63,October,2189,0.07,64,13040,49807
64,November,3595,1.0,133,23120,49807
65,December,7715,1.0,263,64320,49807
66,January,8284,1.0,245,72640,49807
67,February,6395,1.0,234,45280,49807
68,March,6345,1.0,195,51840,49807
69,April,5076,1.0,170,36640,49807
70,May,4973,1.0,123,42880,49807
71,June,4468,1.0,103,40080,49807
72,July,5239,1.0,144,43760,49807
73,August,5522,1.0,142,48800,49807
74,September,5366,1.0,139,43680,49807
75,October,5777,1.0,174,44640,49807
76,November,7727,1.0,202,66880,49807
77,December,6143,1.0,186,46960,49807
78,January,8246,1.0,206,71520,49807
79,February,7045,1.0,192,57200,49807
80,March,5851,1.0,185,43520,49807
81,April,6115,1.0,170,51360,49807
82,May,5279,1.0,136,46000,49807
83,June,5704,1.0,142,51120,49807
6,January,47140,0.42,1006,382082,309250
7,February,55159,0.54,1182,453005,309250
8,March,50990,0.87,1254,414699,309250
9,April,39846,0.87,907,326701,309250
10,May,53767,0.87,1212,349617,309250
11,June,63082,0.87,1310,367596,309250
12,July,69765,0.87,1416,410400,309250
13,August,65004,0.83,1203,392998,309250
14,September,52731,0.88,1333,372441,309250
15,October,52243,0.88,1094,375013,309250
16,November,65074,0.88,1242,467696,309250
17,December,71759,0.88,1382,517889,309250
18,January,69654,0.84,1493,493134,309250
19,February,69632,0.84,1346,493557,309250
20,March,59707,0.88,1407,414904,309250
21,April,58376,0.9,1237,405741,309250
22,May,67915,0.9,1346,394341,309250
23,June,75007,0.9,1497,440528,309250
24,July,73491,0.92,1330,443577,309250
25,August,74536,0.92,1385,446239,309250
26,September,62129,0.92,1271,412396,309250
27,October,64060,0.92,1283,461542,309250
28,November,68875,0.92,1303,496786,309250
29,December,79817,0.92,1469,532573,309250
30,January,82041,0.92,1490,546837,309250
31,February,59206,0.92,3036,382085,309250
32,March,54472,0.92,1366,336352,309250
33,April,58120,0.92,1326,374299,309250
34,May,77424,0.78,1342,430553,309250
35,June,86386,0.78,1374,486964,309250
36,July,83740,0.78,1449,471729,309250
37,August,78838,0.78,1451,446222,309250
38,September,69158,0.78,1440,466806,309250
39,October,62758,0.78,1376,424126,309250
40,November,65826,0.78,1289,452881,309250
41,December,63111,0.78,1356,450342,309250
42,January,64723,0.78,1345,475616,309250
43,February,74056,0.78,1272,541531,309250
44,March,57632,0.78,1344,418028,309250
45,April,53762,0.78,1124,393055,309250
46,May,75828,0.86,1326,473491,309250
47,June,83554,0.86,1346,517812,309250
48,July,77110,0.86,1483,454332,309250
49,August,76967,0.86,1434,457948,309250
50,September,63420,0.86,1317,451032,309250
51,October,58433,0.86,1291,423535,309250
52,November,66166,0.86,1414,477756,309250
53,December,18700,0.86,2576,188674,309250
54,January,32873,0.86,2576,188674,309250
55,February,49067,0.86,1295,407196,309250
56,March,51812,0.86,1340,432876,309250
57,April,48167,0.99,1213,402153,309250
58,May,60496,0.99,1227,414244,309250
59,June,65152,0.99,1383,441633,309250
60,July,65725,0.99,1359,449616,309250
61,August,64039,0.96,1310,437907,309250
62,September,50655,0.92,1478,416411,309250
63,October,47460,0.92,1240,396052,309250
64,November,54322,0.92,1348,455573,309250
65,December,62134,0.92,1532,520669,309250
66,January,59835,0.93,1509,489079,309250
67,February,37379,0.88,1458,305173,309250
